numberOfNodes,maximum_error
2, 1.4210854715202004e-14
3, 1.0000000000000000e+02
4, 1.0000000000000000e+02
5, 1.4210854715202004e-14
6, 5.6843418860808015e-14
7, 1.0000000000000000e+02
8, 1.0000000000000000e+02
9, 2.4868995751603507e-14
10, 7.1054273576010019e-14
numberOfNodes,maximum_error
2, 1.4210854715202004e-14
3, 1.0000000000000000e+02
4, 1.0000000000000000e+02
5, 1.4210854715202004e-14
6, 5.6843418860808015e-14
7, 1.0000000000000000e+02
8, 1.0000000000000000e+02
9, 2.4868995751603507e-14
10, 7.1054273576010019e-14
numberOfNodes,maximum_error
2, 1.4210854715202004e-14
3, 1.0000000000000000e+02
4, 1.0000000000000000e+02
5, 1.4210854715202004e-14
6, 5.6843418860808015e-14
7, 1.0000000000000000e+02
8, 1.0000000000000000e+02
9, 2.4868995751603507e-14
10, 7.1054273576010019e-14
numberOfNodes,maximum_error
2, 1.4210854715202004e-14
3, 1.0000000000000000e+02
4, 1.0000000000000000e+02
5, 1.4210854715202004e-14
6, 5.6843418860808015e-14
7, 1.0000000000000000e+02
8, 1.0000000000000000e+02
9, 2.4868995751603507e-14
10, 7.1054273576010019e-14
