nodesPosition, nodesTemperature
0.000000, 343.75000000000000000000
0.66666666666666662966, 341.25000000000000000000
1.33333333333333325932, 338.75000000000000000000
2.00000000000000000000, 336.25000000000000000000
2.66666666666666651864, 333.75000000000000000000
3.12500000000000000000, 330.62500000000000000000
3.37500000000000000000, 326.87500000000000000000
3.62500000000000000000, 323.12500000000000000000
3.87500000000000000000, 319.37500000000000000000
4.12500000000000000000, 315.62500000000000000000
4.37500000000000000000, 311.87500000000000000000
