number_of_nodes_first_material, number_of_nodes_second_material, maximum_error_equivalent_resistance, maximum_error_linear_interpolation
3, 3, 2.273737e-13, 1.910377e+00, 
3, 4, 6.252776e-13, 1.467391e+00, 
3, 5, 3.979039e-13, 1.191176e+00, 
3, 6, 5.115908e-13, 1.002475e+00, 
3, 7, 7.958079e-13, 8.653846e-01, 
3, 8, 7.958079e-13, 7.612782e-01, 
3, 9, 6.821210e-13, 6.795302e-01, 
4, 3, 3.750000e+00, 1.840909e+00, 
4, 4, 2.812500e+00, 1.426056e+00, 
4, 5, 8.526513e-13, 1.163793e+00, 
4, 6, 3.410605e-13, 9.830097e-01, 
4, 7, 1.193712e-12, 8.508403e-01, 
4, 8, 5.115908e-13, 7.500000e-01, 
4, 9, 1.421085e-12, 6.705298e-01, 
5, 3, 3.750000e+00, 5.526316e+00, 
5, 4, 3.410605e-13, 1.386986e+00, 
5, 5, 2.250000e+00, 1.137640e+00, 
5, 6, 5.684342e-14, 9.642857e-01, 
5, 7, 1.023182e-12, 8.367769e-01, 
5, 8, 2.842171e-12, 7.390511e-01, 
5, 9, 2.273737e-12, 6.617647e-01, 
6, 3, 3.750000e+00, 5.466102e+00, 
6, 4, 2.812500e+00, 4.162500e+00, 
6, 5, 2.250000e+00, 1.112637e+00, 
6, 6, 1.875000e+00, 9.462617e-01, 
6, 7, 4.547474e-13, 8.231707e-01, 
6, 8, 5.684342e-13, 7.284173e-01, 
6, 9, 1.818989e-12, 6.532258e-01, 
7, 3, 6.821210e-13, 5.409836e+00, 
7, 4, 2.812500e+00, 4.127435e+00, 
7, 5, 2.250000e+00, 3.338710e+00, 
7, 6, 2.330580e-12, 9.288991e-01, 
7, 7, 1.607143e+00, 8.100000e-01, 
7, 8, 1.364242e-12, 7.180851e-01, 
7, 9, 9.094947e-13, 6.449045e-01, 
8, 3, 2.557954e-12, 1.607143e+00, 
8, 4, 2.842171e-13, 1.281646e+00, 
8, 5, 6.821210e-13, 1.065789e+00, 
8, 6, 4.547474e-13, 9.121622e-01, 
8, 7, 2.614797e-12, 7.972441e-01, 
8, 8, 1.421085e-12, 7.080420e-01, 
8, 9, 1.023182e-12, 6.367925e-01, 
9, 3, 4.376943e-12, 5.307692e+00, 
9, 4, 4.206413e-12, 4.062500e+00, 
9, 5, 3.240075e-12, 3.293814e+00, 
9, 6, 2.387424e-12, 8.960177e-01, 
9, 7, 3.126388e-12, 7.848837e-01, 
9, 8, 2.842171e-12, 6.982759e-01, 
9, 9, 1.591616e-12, 6.288820e-01, 
